Model,o1-mini,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,grok-beta,Claude-3-Sonnet,Qwen-Turbo,Claude-3.7-Sonnet,grok2-1212,Gemini Flash 1.5,GPT-4o,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Max,o1,Claude-3-Opus,Gemini Pro 1.5,Perplexity: Llama 3.1 Sonar 70B,Qwen-Plus,o3-mini-high,Claude-3.7-Sonnet-thinking,Perplexity: Llama 3.1 Sonar 405B Online,DeepSeek-Distill-Qwen-32b,DeepSeek-R1-Full,Median Grade
o1-mini,---,A,B+,B+,A-,A-,A,B+,A-,B-,A-,B+,A-,A,A,B+,A-,A-,A-,B+,A-,B+,A-,A-
GPT-3.5-Turbo,B+,---,B+,B+,B+,A-,B+,B+,A-,B-,B+,B+,B+,A-,A,B-,A-,A-,A-,B,A-,A-,A-,B+
Llama-3-8B,B+,A,---,B+,B+,A,B+,B+,B+,B-,B,B+,N/A,A-,A-,B-,A-,N/A,B+,B-,A-,A-,A-,B+
GPT-4o-mini,B+,A,B+,---,B+,A,A-,B+,A-,B-,A-,B+,N/A,A,A,B+,A-,B+,B+,B+,B+,B+,A-,B+
grok-beta,B+,A,B+,B+,---,A-,A-,B+,A-,B-,A-,B+,B+,A-,A,B+,A-,A-,B+,B+,A-,B+,A-,N/A
Claude-3-Sonnet,B+,A-,B+,B+,A,---,B+,B+,A-,B-,B+,B+,B+,A-,B+,B,B+,A-,A-,B+,A-,B+,A-,B+
Qwen-Turbo,B+,A-,B+,B+,A,A,---,B+,A-,B-,B+,A-,B+,A-,A-,A-,A-,A-,B+,B+,A-,A-,A-,A-
Claude-3.7-Sonnet,A-,A,B+,B+,B+,A,A,---,A-,B-,A-,B+,A-,A-,A-,B+,A-,A-,B+,B+,A-,A-,A-,A-
grok2-1212,B+,A-,N/A,B+,A,A-,A-,B+,---,B-,A-,B+,A,A-,A,B+,A-,N/A,B+,A-,A-,A-,A-,A-
Gemini Flash 1.5,B+,A-,B+,B+,N/A,A,B+,A-,A-,---,A-,B+,A-,A,A-,B+,A-,A-,A-,B+,A-,B+,A-,A-
GPT-4o,B+,A-,B+,B+,A-,A,B+,B+,A-,B-,---,B+,B+,A-,A,B+,A-,A-,B+,B,B+,B+,A-,B+
Perplexity: Llama 3.1 Sonar 8B Online,B+,A,B+,B+,B+,A,B+,B+,A-,B-,B+,---,A-,A-,A,B-,B+,B+,B+,B+,B+,A-,A-,B+
Qwen-Max,B+,A,A-,B+,B+,A,A-,B-,B+,B-,B,B+,---,A-,B+,B+,B+,B+,B,B,A-,B+,B+,B+
o1,B+,A-,B+,B+,A-,A-,A,B+,A-,B+,B+,B+,A-,---,A-,A-,A-,A,A-,B+,A-,B+,A-,A-
Claude-3-Opus,B+,A-,B+,B+,B+,A-,A,B,A-,B-,A-,B+,A-,A-,---,B-,A-,B+,A-,B+,A-,B+,A-,N/A
Gemini Pro 1.5,B+,A,B+,B+,B+,A,B+,B+,B+,B-,B+,B+,A-,A-,B+,---,A-,B+,A-,B+,A-,B+,A-,B+
Perplexity: Llama 3.1 Sonar 70B,A-,A,B+,B+,B+,A-,A-,B+,A-,B-,B+,B+,N/A,A-,A-,B,---,A-,B+,B,B+,B+,A-,B+
Qwen-Plus,A-,A,N/A,A-,B+,A-,B+,B+,A-,B-,B+,A,A-,A-,A,A-,A-,---,A-,A-,A-,A-,A-,A-
o3-mini-high,A-,A-,A-,A-,B+,A,A,A-,A-,B+,A-,B+,A-,A,A,B+,A-,A-,---,B+,A-,B+,A,A-
Claude-3.7-Sonnet-thinking,B+,A-,B+,B+,A-,A-,A+,B+,A-,B,A-,B+,C,A-,A-,B+,A-,A-,A-,---,A-,A,A-,A-
Perplexity: Llama 3.1 Sonar 405B Online,B+,A,B+,B,A-,B+,A-,B+,B+,B-,B+,B+,B,A-,A-,B-,B+,B+,A-,B+,---,B+,A-,B+
DeepSeek-Distill-Qwen-32b,A-,A-,B+,B+,B+,A,A-,B+,A-,B,B+,B+,B+,A-,A,B+,A-,A-,A-,B+,A-,---,A-,A-
DeepSeek-R1-Full,A-,A-,A,A-,B+,A,A-,B+,A-,B-,A-,B+,A-,A-,A,B+,A-,A-,B+,B+,A-,B+,---,A-
