Model                                     | Median Given | Grading Bias         |
-----------------------------------------+--------------+----------------------+
o1-mini                                   |      A       | Neutral              |
GPT-3.5-Turbo                             |      A       | Neutral              |
Llama-3-8B                                |      A       | Neutral              |
GPT-4o-mini                               |      A-      | Slightly Strict (-1/3 grade) |
grok-beta                                 |      A-      | Slightly Strict (-1/3 grade) |
grok2-1212                                |      A       | Neutral              |
Claude-3.7-Sonnet                         |      A-      | Slightly Strict (-1/3 grade) |
GPT-4o                                    |      A       | Neutral              |
Qwen-Turbo                                |      A-      | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                           |      A       | Neutral              |
Gemini Flash 1.5                          |      B+      | Very Strict (-2 grades) |
Claude-3-Opus                             |      A       | Neutral              |
Qwen-Plus                                 |      A       | Neutral              |
Perplexity: Llama 3.1 Sonar 70B           |      A+      | Slightly Lenient (+1/3 grade) |
Perplexity: Llama 3.1 Sonar 8B Online     |      A-      | Slightly Strict (-1/3 grade) |
Gemini Pro 1.5                            |      A-      | Slightly Strict (-1/3 grade) |
o1                                        |      A       | Neutral              |
o3-mini-high                              |      A       | Neutral              |
Qwen-Max                                  |      A-      | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet-thinking                |      A-      | Slightly Strict (-1/3 grade) |
DeepSeek-Distill-Qwen-32b                 |      A       | Neutral              |
Perplexity: Llama 3.1 Sonar 405B Online   |      A+      | Slightly Lenient (+1/3 grade) |
DeepSeek-R1-Full                          |      A       | Neutral              |
-----------------------------------------+--------------+----------------------+
OVERALL                                   |      A       | Baseline             |
