Model,o1-mini,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Claude-3-Sonnet,grok-beta,Claude-3.7-Sonnet,DeepSeek-Distill-Qwen-32b,Qwen-Turbo,GPT-4o,grok2-1212,Gemini Flash 1.5,Perplexity: Llama 3.1 Sonar 8B Online,Claude-3-Opus,Gemini Pro 1.5,o1,Qwen-Plus,Qwen-Max,o3-mini-high,Perplexity: Llama 3.1 Sonar 405B Online,DeepSeek-R1-Full,Claude-3.7-Sonnet-thinking,Perplexity: Llama 3.1 Sonar 70B,Median Grade,Percentage
o1-mini,---,A- (90),B+ (87),B+ (87),A (93),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B (83),B+ (87),A (93),B+ (87),A- (90),A- (90),N/A (0),A- (90),A- (90),A- (90),A- (90),A- (90),A-,90
GPT-3.5-Turbo,A- (90),---,B+ (87),B+ (87),A- (90),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),B- (80),B+ (87),A- (90),B- (80),A- (90),B+ (87),A- (90),A- (90),B+ (87),B+ (87),B+ (87),A- (90),B+,87
Llama-3-8B,B+ (87),A (93),---,B (83),B+ (87),B+ (87),B+ (87),B (83),A (93),B+ (87),B+ (87),B- (80),B+ (87),A- (90),B- (80),A- (90),A- (90),B+ (87),B (83),N/A (0),B+ (87),B+ (87),B+ (87),B+,87
GPT-4o-mini,A- (90),A (93),B+ (87),---,A- (90),N/A (0),B+ (87),A- (90),A- (90),A- (90),A- (90),B (83),B+ (87),A- (90),B+ (87),A- (90),B+ (87),A- (90),A (93),B+ (87),A- (90),B (83),B+ (87),A-,90
Claude-3-Sonnet,A- (90),A- (90),A- (90),B (83),---,B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),B- (80),B+ (87),A- (90),B (83),A- (90),A- (90),N/A (0),B+ (87),A- (90),A- (90),B (83),A- (90),B+,87
grok-beta,B+ (87),A- (90),B+ (87),A- (90),A (93),---,B+ (87),A (93),A (93),A- (90),A- (90),B (83),B+ (87),A- (90),B+ (87),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B+,88
Claude-3.7-Sonnet,B+ (87),A- (90),B+ (87),B+ (87),A (93),B+ (87),---,A- (90),B+ (87),A- (90),A- (90),B- (80),B+ (87),A (93),B+ (87),A (93),A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),A- (90),A-,90
DeepSeek-Distill-Qwen-32b,C- (70),C- (70),C- (70),C- (70),N/A (0),C- (70),a (0),---,a (0),a (0),a (0),C- (70),B+ (87),N/A (0),C- (70),C- (70),a (0),C- (70),C- (70),a (0),C- (70),N/A (0),C- (70),C-,70
Qwen-Turbo,A- (90),A- (90),B+ (87),B+ (87),A- (90),A- (90),B (83),A (93),---,B+ (87),A- (90),B (83),B+ (87),A (93),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),A-,90
GPT-4o,A- (90),A (93),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A- (90),---,A- (90),B- (80),B+ (87),A- (90),B- (80),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B+,88
