Model,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Claude-3-Sonnet,GPT-4o,grok-beta,Claude-3.7-Sonnet,Qwen-Turbo,Gemini Flash 2.0,o1,grok2-1212,Claude-3-Opus,o1-mini,Gemini Pro 1.5,Qwen-Plus,Median Grade
GPT-3.5-Turbo,---,B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B (83),B+ (87),B (83),A- (90),B+ (87),B+ (87),B+ (87),B- (80),B+ (87),B+ (87)
Llama-3-8B,A (93),---,B (83),A- (90),B- (80),B+ (87),B- (80),B+ (87),B (83),A- (90),B+ (87),A- (90),B+ (87),B- (80),B+ (87),B+ (87)
GPT-4o-mini,A (93),B+ (87),---,A (93),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),A (93),A- (90),A (93),B+ (87),B (83),A- (90),A- (90)
Claude-3-Sonnet,A (93),B+ (87),B+ (87),---,A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87)
GPT-4o,A- (90),B (83),B+ (87),A (93),---,B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+ (87),B (83),A- (90),B+ (87)
grok-beta,A- (90),B+ (87),B+ (87),A (93),B+ (87),---,B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),B (83),B+ (87),B+ (87)
Claude-3.7-Sonnet,B+ (87),B+ (87),B+ (87),A (93),A- (90),A- (90),---,A (93),B+ (87),A (93),A- (90),A (93),A- (90),B+ (87),A- (90),A- (90)
Qwen-Turbo,A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),B+ (87),---,C+ (77),A- (90),A- (90),A- (90),B+ (87),B (83),A- (90),A- (90)
Gemini Flash 2.0,B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+ (87),B+ (87),---,A- (90),A- (90),A (93),B+ (87),A- (90),A- (90),A- (90)
o1,A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),B+ (87),A- (90),B+ (87),---,A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87)
grok2-1212,A- (90),A- (90),B+ (87),A (93),B+ (87),A- (90),B+ (87),N/A (0),B+ (87),A- (90),---,A (93),B+ (87),B+ (87),A- (90),A- (90)
Claude-3-Opus,A (93),B+ (87),B+ (87),A (93),B (83),B+ (87),B+ (87),B (83),B+ (87),A- (90),A- (90),---,B+ (87),B- (80),B+ (87),B+ (87)
o1-mini,A (93),B+ (87),B+ (87),A (93),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),A (93),A- (90),A (93),---,B+ (87),A- (90),A- (90)
Gemini Pro 1.5,A- (90),B+ (87),B+ (87),A (93),A- (90),A- (90),B+ (87),A (93),B (83),A- (90),A- (90),A- (90),A- (90),---,A- (90),A- (90)
Qwen-Plus,A- (90),B+ (87),B+ (87),A (93),B+ (87),A- (90),B+ (87),A- (90),B+ (87),A (93),A- (90),A (93),A (93),B+ (87),---,A- (90)
Grading Bias,A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),B (83),A- (90),
