Model,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Claude-3-Sonnet,GPT-4o,grok-beta,Claude-3.7-Sonnet,Qwen-Turbo,Gemini Flash 2.0,o1,grok2-1212,Claude-3-Opus,o1-mini,Perplexity: Llama 3.1 Sonar 70B,Gemini Pro 1.5,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Plus,o3-mini-high,Qwen-Max,DeepSeek-Distill-Qwen-32b,DeepSeek-R1-Full,Claude-3.7-Sonnet-thinking,Median Grade,Percentage
GPT-3.5-Turbo,---,B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B (83),B+ (87),B (83),A- (90),B+ (87),B+ (87),B+ (87),A- (90),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),N/A (0),B+ (87),B+,87
Llama-3-8B,A (93),---,B (83),A- (90),B- (80),B+ (87),B- (80),B+ (87),B (83),A- (90),B+ (87),A- (90),B+ (87),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),B (83),B+ (87),B (83),B+,87
GPT-4o-mini,A (93),B+ (87),---,A (93),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),A (93),A- (90),A (93),B+ (87),A- (90),B (83),A- (90),A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),A-,90
Claude-3-Sonnet,A (93),B+ (87),B+ (87),---,A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+ (87),C (73),B+ (87),A- (90),B (83),B+,87
GPT-4o,A- (90),B (83),B+ (87),A (93),---,B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B (83),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+,87
grok-beta,A- (90),B+ (87),B+ (87),A (93),B+ (87),---,B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),A- (90),B (83),B+ (87),B+ (87),A- (90),B+ (87),A- (90),N/A (0),B+ (87),B+,87
Claude-3.7-Sonnet,B+ (87),B+ (87),B+ (87),A (93),A- (90),A- (90),---,A (93),B+ (87),A (93),A- (90),A (93),A- (90),B+ (87),B+ (87),B (83),A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),A-,90
Qwen-Turbo,A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),B+ (87),---,C+ (77),A- (90),A- (90),A- (90),B+ (87),B+ (87),B (83),B+ (87),A- (90),A- (90),A- (90),A (93),A- (90),B+ (87),A-,90
Gemini Flash 2.0,B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+ (87),B+ (87),---,A- (90),A- (90),A (93),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B (83),A-,90
o1,A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),B+ (87),A- (90),B+ (87),---,A- (90),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+,87
grok2-1212,A- (90),A- (90),B+ (87),A (93),B+ (87),A- (90),B+ (87),N/A (0),B+ (87),A- (90),---,A (93),B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),A-,90
Claude-3-Opus,A (93),B+ (87),B+ (87),A (93),B (83),B+ (87),B+ (87),B (83),B+ (87),A- (90),A- (90),---,B+ (87),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+,87
o1-mini,A (93),B+ (87),B+ (87),A (93),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),A (93),A- (90),A (93),---,A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),A-,90
