Model,Llama-3-8B,GPT-4o-mini,Qwen-Turbo,grok-beta,GPT-3.5-Turbo,grok2-1212,Claude-3.7-Sonnet,Claude-3-Sonnet,GPT-4o,Claude-3-Opus,Qwen-Plus,Gemini Flash 2.0,DeepSeek-Distill-Qwen-32b,o1,Perplexity: Llama 3.1 Sonar 8B Online,o1-mini,o3-mini-high,Gemini Pro 1.5,Qwen-Max,Perplexity: Llama 3.1 Sonar 70B,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage
Llama-3-8B,---,B (83),B (83),B- (80),A (93),B (83),C+ (77),B (83),B- (80),B (83),B+ (87),B- (80),B (83),B (83),A- (90),B (83),B- (80),C- (70),B (83),A- (90),C+ (77),C+ (77),B,83
GPT-4o-mini,B+ (87),---,B+ (87),B (83),A (93),B+ (87),B (83),A- (90),B+ (87),B+ (87),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B- (80),B (83),A- (90),B (83),B (83),B+,87
Qwen-Turbo,B+ (87),B+ (87),---,B+ (87),A (93),B- (80),B (83),B+ (87),B+ (87),B+ (87),B+ (87),B (83),B+ (87),A- (90),B+ (87),A- (90),A- (90),C- (70),B+ (87),A- (90),B- (80),N/A (0),B+,87
grok-beta,B+ (87),B+ (87),A- (90),---,A (93),B+ (87),B (83),B+ (87),B+ (87),B+ (87),A- (90),B (83),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),B (83),B (83),B+,87
GPT-3.5-Turbo,B- (80),B (83),B (83),B- (80),---,B (83),C+ (77),B (83),B (83),B- (80),B (83),B- (80),B (83),A- (90),B- (80),A- (90),B (83),C+ (77),B- (80),B+ (87),B- (80),B (83),B,83
grok2-1212,B+ (87),B+ (87),B+ (87),B (83),A- (90),---,B (83),B+ (87),B+ (87),B+ (87),B+ (87),B- (80),B (83),B+ (87),A (93),B+ (87),B+ (87),B- (80),B+ (87),A- (90),B+ (87),B+ (87),B+,87
Claude-3.7-Sonnet,A- (90),B+ (87),A- (90),N/A (0),A- (90),B+ (87),---,A (93),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B+,87
Claude-3-Sonnet,B+ (87),B (83),A- (90),B- (80),A (93),B- (80),B (83),---,B+ (87),B+ (87),B+ (87),B- (80),B+ (87),A- (90),A (93),B+ (87),B+ (87),C+ (77),B (83),B+ (87),B- (80),B- (80),B+,87
GPT-4o,B+ (87),B (83),A- (90),B (83),A (93),B+ (87),B (83),B+ (87),---,B+ (87),A- (90),B- (80),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),B (83),B (83),B+,87
Claude-3-Opus,B+ (87),B+ (87),B (83),A- (90),A (93),B+ (87),B- (80),A- (90),A- (90),---,B+ (87),B- (80),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B- (80),B+ (87),A- (90),B (83),B (83),B+,87
