Model,GPT-3.5-Turbo,Llama-3-8B,o1-mini,Claude-3-Sonnet,GPT-4o-mini,Qwen-Plus,Qwen-Turbo,grok2-1212,grok-beta,Claude-3.7-Sonnet,GPT-4o,Gemini Flash 2.0,Claude-3-Opus,Perplexity: Llama 3.1 Sonar 70B,Qwen-Max,Perplexity: Llama 3.1 Sonar 8B Online,o1,Gemini Pro 1.5,o3-mini-high,DeepSeek-Distill-Qwen-32b,DeepSeek-R1-Full,Claude-3.7-Sonnet-thinking,Median Grade,Percentage
GPT-3.5-Turbo,---,B+ (87),B+ (87),A- (90),A- (90),A- (90),B (83),A- (90),B+ (87),A- (90),A (93),B (83),B+ (87),B+ (87),A (93),A (93),A- (90),B+ (87),C+ (77),B+ (87),A- (90),A- (90),A-,90
Llama-3-8B,B (83),---,C- (70),B+ (87),B- (80),C- (70),B- (80),B- (80),B- (80),C+ (77),C (73),A (93),B+ (87),B- (80),C (73),A+ (100),C (73),C- (70),C- (70),B- (80),N/A (0),C+ (77),B-,80
o1-mini,B (83),A- (90),---,A+ (100),A- (90),A (93),A- (90),B+ (87),B+ (87),A- (90),A- (90),A- (90),A (93),A- (90),A (93),B (83),A- (90),A- (90),A- (90),A+ (100),B- (80),A- (90),A-,90
Claude-3-Sonnet,B+ (87),B+ (87),B+ (87),---,B (83),B (83),A- (90),A- (90),B+ (87),B (83),B+ (87),A- (90),A- (90),A- (90),B (83),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),C+ (77),B- (80),B+,87
GPT-4o-mini,B+ (87),A+ (100),B+ (87),A (93),---,B+ (87),B+ (87),A (93),B (83),A- (90),A (93),A (93),A (93),A- (90),B+ (87),A- (90),A (93),A- (90),B (83),B+ (87),A- (90),A (93),A-,90
Qwen-Plus,B+ (87),A (93),B+ (87),A+ (100),A (93),---,A (93),A (93),A- (90),A- (90),A (93),A- (90),A (93),A (93),B (83),A (93),A- (90),A (93),B (83),B+ (87),B+ (87),A- (90),A-,90
Qwen-Turbo,B (83),B+ (87),B+ (87),B+ (87),B (83),A- (90),---,B+ (87),B- (80),B (83),B+ (87),B+ (87),A- (90),A- (90),B (83),B- (80),B- (80),B+ (87),C (73),B+ (87),B- (80),B (83),B+,87
grok2-1212,A (93),A+ (100),A- (90),A- (90),B+ (87),A- (90),A- (90),---,A (93),A- (90),A (93),A- (90),A (93),A (93),A- (90),A+ (100),B+ (87),A- (90),B (83),A- (90),B (83),A- (90),A-,90
grok-beta,B+ (87),B+ (87),B+ (87),A (93),A- (90),B (83),B+ (87),A (93),---,B- (80),B+ (87),B+ (87),A- (90),A (93),B+ (87),B (83),C (73),A- (90),C (73),A- (90),N/A,C+ (77),B+,87
Claude-3.7-Sonnet,B+ (87),B+ (87),B+ (87),A (93),B (83),A- (90),B (83),A- (90),A- (90),---,A- (90),A (93),A (93),A (93),A (93),B+ (87),A- (90),A- (90),A- (90),A- (90),C (73),A- (90),A-,90
GPT-4o,A (93),A- (90),A- (90),A (93),B (83),B+ (87),B (83),A (93),A- (90),A- (90),---,A- (90),A (93),A (93),A (93),A (93),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),A-,90
Gemini Flash 2.0,B+ (87),A (93),B+ (87),A+ (100),A- (90),A (93),B (83),A (93),B+ (87),A- (90),A- (90),---,A- (90),A- (90),A- (90),A (93),A- (90),A- (90),B (83),B+ (87),B+ (87),A- (90),A-,90
Claude-3-Opus,B+ (87),B+ (87),B+ (87),B+ (87),B (83),B (83),B+ (87),A (93),B+ (87),B- (80),A (93),B+ (87),---,B+ (87),B (83),A- (90),B+ (87),B+ (87),C (73),A- (90),B- (80),A- (90),B+,87
Perplexity: Llama 3.1 Sonar 70B,B+ (87),B+ (87),B- (80),A (93),A- (90),A- (90),A- (90),A (93),B (83),A (93),A (93),A (93),A- (90),---,A (93),B+ (87),B+ (87),A- (90),C- (70),B- (80),B (83),A- (90),A-,90
Qwen-Max,A- (90),A (93),A- (90),A (93),B+ (87),A- (90),A- (90),A- (90),B+ (87),B+ (87),A (93),A (93),A- (90),A (93),---,A- (90),A- (90),A (93),B- (80),A (93),B+ (87),A- (90),A-,90
Perplexity: Llama 3.1 Sonar 8B Online,B- (80),B- (80),C- (70),B+ (87),B (83),B- (80),C (73),C- (70),C- (70),C- (70),C- (70),C- (70),B- (80),C- (70),C (73),---,C- (70),C+ (77),C- (70),C- (70),C- (70),C- (70),C-,70
o1,A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),A (93),A- (90),B+ (87),A- (90),A (93),B+ (87),A- (90),A- (90),A (93),C (73),---,A- (90),A- (90),A (93),B+ (87),A- (90),A-,90
Gemini Pro 1.5,B+ (87),A- (90),B+ (87),A (93),B+ (87),A- (90),A (93),A- (90),B (83),B+ (87),B (83),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),---,B (83),A (93),B (83),B+ (87),B+,87
o3-mini-high,A (93),A (93),A (93),A (93),A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),A (93),A (93),A- (90),A+ (100),A- (90),A (93),A (93),A- (90),---,B (83),A (93),A- (90),A-,90
DeepSeek-Distill-Qwen-32b,A- (90),B+ (87),A- (90),A+ (100),B (83),A (93),A (93),A- (90),A- (90),B+ (87),A- (90),A (93),A- (90),A (93),A- (90),A- (90),B (83),A- (90),C+ (77),---,B- (80),A- (90),A-,90
DeepSeek-R1-Full,A- (90),B (83),A- (90),A (93),B (83),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),A (93),B+ (87),A- (90),A (93),B+ (87),A- (90),A- (90),A- (90),B (83),B+ (87),---,B+ (87),B+,87
Claude-3.7-Sonnet-thinking,A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),A+ (100),B+ (87),B+ (87),A- (90),A- (90),A (93),A (93),A (93),A+ (100),A- (90),A- (90),A- (90),A- (90),B+ (87),---,A-,90
