Model,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Qwen-Turbo,grok-beta,Claude-3.7-Sonnet,Claude-3-Sonnet,Qwen-Plus,Gemini Flash 2.0,Perplexity: Llama 3.1 Sonar 70B,Perplexity: Llama 3.1 Sonar 8B Online,GPT-4o,o1-mini,Claude-3-Opus,grok2-1212,Gemini Pro 1.5,o1,Qwen-Max,o3-mini-high,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,DeepSeek-Distill-Qwen-32b,Median Grade
GPT-3.5-Turbo,B+ (87),B+ (87),B (83),B+ (87),A- (90),B (83),B+ (87),B+ (87),B (83),A- (90),B (83),B+ (87),B+ (87),B+ (87),A- (90),B- (80),A- (90),B+ (87),B+ (87),B- (80),A- (90),B+ (87),B+ (87)
Llama-3-8B,A (93),B+ (87),B+ (87),A- (90),A (93),B- (80),A- (90),B+ (87),B (83),B+ (87),B+ (87),B (83),B+ (87),B+ (87),B+ (87),B- (80),A- (90),B (83),B+ (87),B- (80),B (83),B (83),B+ (87)
GPT-4o-mini,A (93),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),B+ (87),A (93),A- (90),B+ (87),A (93),A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90)
Qwen-Turbo,A- (90),B+ (87),B+ (87),N/A (0),B+ (87),B- (80),B+ (87),A- (90),B (83),B+ (87),B+ (87),B (83),B+ (87),B+ (87),B+ (87),B- (80),A- (90),B+ (87),B- (80),B- (80),B (83),B (83),B+ (87)
grok-beta,A- (90),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),B+ (87),B (83),A- (90),B+ (87),A- (90),B (83),A- (90),B+ (87),B+ (87)
Claude-3.7-Sonnet,A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),A (93),A- (90),B+ (87),A (93),A- (90),B+ (87),B+ (87),A- (90),A (93),A- (90)
Claude-3-Sonnet,A (93),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),A (93),B+ (87),B (83),A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90),B (83),A (93),B+ (87),A- (90),B (83),A- (90),B+ (87),B+ (87)
Qwen-Plus,A- (90),B+ (87),B+ (87),B+ (87),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),B- (80),B- (80),B+ (87),B+ (87)
Gemini Flash 2.0,A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),N/A (0),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),A (93),B+ (87),A- (90),A- (90),A- (90),A- (90),A- (90)
Perplexity: Llama 3.1 Sonar 70B,A- (90),B+ (87),B+ (87),A (93),B+ (87),B+ (87),N/A (0),N/A (0),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A (93),A- (90),B+ (87),A- (90),B+ (87),A- (90),B (83),A- (90),B+ (87),B+ (87)
Perplexity: Llama 3.1 Sonar 8B Online,A- (90),A (93),B+ (87),B (83),B+ (87),B+ (87),N/A (0),A- (90),B+ (87),B+ (87),B+ (87),B (83),A- (90),A (93),B+ (87),B- (80),A- (90),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),B+ (87)
GPT-4o,A (93),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90)
o1-mini,A (93),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),B+ (87),A (93),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),B+ (87)
Claude-3-Opus,A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),N/A (0),A- (90),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A (93),B+ (87),B- (80),B+ (87),B+ (87),A- (90),B (83),A- (90),B+ (87),B+ (87)
grok2-1212,A- (90),B+ (87),A- (90),B+ (87),A- (90),B+ (87),N/A (0),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),A- (90),A (93),A (93),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),B+ (87)
