Model,GPT-3.5-Turbo,Llama-3-8B,o1-mini,o3-mini-high,GPT-4o-mini,Claude-3-Sonnet,Claude-3.7-Sonnet,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Turbo,GPT-4o,Qwen-Plus,Claude-3-Opus,Gemini Flash 2.0,o1,grok2-1212,Gemini Pro 1.5,grok-beta,DeepSeek-Distill-Qwen-32b,Perplexity: Llama 3.1 Sonar 70B,Qwen-Max,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage
GPT-3.5-Turbo,A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B (83),B+ (87),B+ (87),A- (90),A- (90),A- (90),B (83),A- (90),A- (90),B- (80),B (83),B+ (87),B+ (87),B (83),B+ (87),A- (90),B+,87
Llama-3-8B,A (93),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B (83),B+ (87),A- (90),B (83),A- (90),B+ (87),B- (80),B+ (87),B (83),A- (90),B+ (87),B+ (87),B+ (87),B+,87
o1-mini,A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A (93),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+,87
o3-mini-high,A- (90),B+ (87),A- (90),A- (90),B+ (87),A (93),B+ (87),A- (90),A (93),A- (90),A- (90),A- (90),B (83),A (93),A (93),B+ (87),B+ (87),A- (90),A (93),A- (90),B+ (87),A- (90),A-,90
GPT-4o-mini,A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),A- (90),B- (80),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B+,88
Claude-3-Sonnet,A- (90),B+ (87),A (93),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A+ (100),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B- (80),A- (90),A-,90
Claude-3.7-Sonnet,A (93),b (0),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A (93),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),A- (90),B (83),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),A-,90
Perplexity: Llama 3.1 Sonar 8B Online,A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B (83),B+ (87),B (83),B+ (87),A- (90),A (93),B (83),A- (90),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),B+,87
Qwen-Turbo,A (93),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B (83),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),A-,90
GPT-4o,A- (90),B+ (87),B+ (87),A- (90),B (83),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),B (83),A- (90),A- (90),B (83),B+ (87),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+,88
