Model,o1-mini,GPT-4o-mini,Claude-3.7-Sonnet,Claude-3-Sonnet,GPT-4o,Gemini Flash 2.0,DeepSeek-Distill-Qwen-32b,Gemini Pro 1.5,grok2-1212,Perplexity: Llama 3.1 Sonar 8B Online,Perplexity: Llama 3.1 Sonar 70B,o1,o3-mini-high,Qwen-Max,Claude-3-Opus,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage,Raw Numeric Average
o1-mini,A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),A-,90.00,3.63
GPT-4o-mini,A- (90.00),B+ (87.00),B+ (87.00),A (93.00),B+ (87.00),B (83.00),A- (90.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A-,90.00,3.56
Claude-3.7-Sonnet,A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),C (73.00),A-,90.00,3.44
Claude-3-Sonnet,B+ (87.00),B+ (87.00),B+ (87.00),B+ (87.00),B+ (87.00),B (83.00),A- (90.00),B- (80.00),A- (90.00),B+ (87.00),A- (90.00),A (93.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+,87.00,3.40
GPT-4o,A- (90.00),B+ (87.00),B+ (87.00),A (93.00),A- (90.00),B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A-,90.00,3.53
Gemini Flash 2.0,B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),B (83.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),B+,87.00,3.47
DeepSeek-Distill-Qwen-32b,B+ (87.00),B (83.00),C+ (77.00),B (83.00),B (83.00),C+ (77.00),B (83.00),C+ (77.00),B (83.00),B+ (87.00),B+ (87.00),B+ (87.00),B (83.00),B (83.00),B (83.00),C+ (77.00),C (73.00),B,83.00,2.82
Gemini Pro 1.5,A- (90.00),B+ (87.00),B+ (87.00),A (93.00),B+ (87.00),B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),B+,87.00,3.47
grok2-1212,B+ (87.00),B+ (87.00),A- (90.00),A (93.00),A (93.00),B+ (87.00),B+ (87.00),B (83.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A-,90.00,3.56
Perplexity: Llama 3.1 Sonar 8B Online,B+ (87.00),B+ (87.00),B+ (87.00),A (93.00),B+ (87.00),B (83.00),B+ (87.00),B (83.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),A (93.00),B+ (87.00),A- (90.00),B+,87.00,3.43
Perplexity: Llama 3.1 Sonar 70B,B+ (87.00),B (83.00),B+ (87.00),A (93.00),A (93.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A-,90.00,3.54
o1,A- (90.00),B+ (87.00),B+ (87.00),A (93.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),A-,90.00,3.60
o3-mini-high,A- (90.00),B+ (87.00),A- (90.00),A (93.00),A (93.00),B+ (87.00),A (93.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),B+ (87.00),A (93.00),A- (90.00),C (73.00),A-,90.00,3.60
Qwen-Max,B+ (87.00),A- (90.00),A- (90.00),A (93.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),C (73.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),A-,90.00,3.62
Claude-3-Opus,B+ (87.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),B+ (87.00),A (93.00),B+ (87.00),A- (90.00),C (73.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),A-,90.00,3.56
Claude-3.7-Sonnet-thinking,A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),B (83.00),A- (90.00),B (83.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A-,90.00,3.49
DeepSeek-R1-Full,B+ (87.00),B+ (87.00),B+ (87.00),A (93.00),A- (90.00),B+ (87.00),B+ (87.00),B- (80.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+,87.00,3.47
