Model,Gemini Flash 2.0,o1-mini,GPT-4o-mini,Claude-3-Sonnet,Claude-3.7-Sonnet,grok2-1212,Gemini Pro 1.5,Perplexity: Llama 3.1 Sonar 70B,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Max,o3-mini-high,Claude-3-Opus,GPT-4o,o1,DeepSeek-Distill-Qwen-32b,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage,Raw Numeric Average
Gemini Flash 2.0,B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B- (80.00),A- (90.00),A-,90.00,3.54
o1-mini,B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A (93.00),A (93.00),A- (90.00),A- (90.00),A-,90.00,3.65
GPT-4o-mini,B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B (83.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A-,90.00,3.50
Claude-3-Sonnet,C+ (77.00),A- (90.00),B+ (87.00),B+ (87.00),B- (80.00),A- (90.00),B (83.00),A- (90.00),B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),B (83.00),A- (90.00),B+ (87.00),B (83.00),A- (90.00),B+,87.00,3.29
Claude-3.7-Sonnet,B+ (87.00),A- (90.00),B+ (87.00),A (93.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),C (73.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),B+,87.00,3.43
grok2-1212,B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A (93.00),A- (90.00),B+ (87.00),B+ (87.00),C (73.00),A-,90.00,3.49
Gemini Pro 1.5,B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),B+ (87.00),A (93.00),A- (90.00),B+ (87.00),A- (90.00),A-,90.00,3.54
Perplexity: Llama 3.1 Sonar 70B,B+ (87.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A-,90.00,3.53
Perplexity: Llama 3.1 Sonar 8B Online,B (83.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B- (80.00),A- (90.00),B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),B+,87.00,3.41
Qwen-Max,B+ (87.00),B+ (87.00),B+ (87.00),A (93.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),C (73.00),B+ (87.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A-,90.00,3.53
o3-mini-high,B+ (87.00),B+ (87.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),C (73.00),A- (90.00),A- (90.00),A (93.00),A (93.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A-,90.00,3.57
Claude-3-Opus,B+ (87.00),B+ (87.00),B (83.00),A (93.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),B+ (87.00),B+ (87.00),B+ (87.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),B+,87.00,3.50
GPT-4o,B (83.00),B+ (87.00),B+ (87.00),A (93.00),B+ (87.00),A- (90.00),B (83.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),B (83.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),B+,87.00,3.46
o1,B+ (87.00),A (93.00),B+ (87.00),A (93.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),C (73.00),B+ (87.00),A (93.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),A (93.00),A-,90.00,3.63
DeepSeek-Distill-Qwen-32b,B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),B+ (87.00),A- (90.00),A-,90.00,3.57
Claude-3.7-Sonnet-thinking,B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),A-,90.00,3.54
DeepSeek-R1-Full,B+ (87.00),A (93.00),A- (90.00),A (93.00),A- (90.00),A- (90.00),B+ (87.00),A- (90.00),B+ (87.00),A- (90.00),A- (90.00),A (93.00),B+ (87.00),A- (90.00),A (93.00),A (93.00),A- (90.00),A-,90.00,3.71
